Contrast,Correlation,Energy,Homogeneity,R_mean,G_mean,B_mean,H_mean,S_mean,V_mean,Area,Perimeter,Mean,StdDev,Label
343.2775706682616,0.904673391201378,0.6814915271033157,0.7620637865171574,127.98440551757812,127.98440551757812,127.98440551757812,0.0,0.0,127.98440551757812,20115,1957.602153301239,26.991867065429688,42.44718266049448,acne
382.8451103268221,0.8426248509204717,0.7658919067470075,0.7957894306347308,112.51701354980469,112.51701354980469,112.51701354980469,0.0,0.0,112.51701354980469,14556,2937.4570531845093,17.61431884765625,34.92492329816504,acne
568.4949951871843,0.8392895981830722,0.591571862422108,0.6965600079716668,91.9224853515625,91.9224853515625,91.9224853515625,0.0,0.0,91.9224853515625,24965,4434.015490055084,32.582489013671875,42.06804849416651,acne
203.33346638018153,0.8648201127592188,0.7185367288574844,0.813133194246663,109.95272827148438,109.95272827148438,109.95272827148438,0.0,0.0,109.95272827148438,17877,2157.8103045225143,13.567840576171875,27.530964118655724,acne
907.8698005237959,0.8112009798685818,0.5886273040248865,0.6431425033653728,120.85829162597656,120.85829162597656,120.85829162597656,0.0,0.0,120.85829162597656,25053,4012.4175112247467,37.24188232421875,48.98328623462879,acne
1070.34378814296,0.8459349000914338,0.41868644090454926,0.5194360270346926,130.26487731933594,130.26487731933594,130.26487731933594,0.0,0.0,130.26487731933594,36325,3655.062172293663,64.336669921875,58.89615138938105,acne
863.8460860382065,0.8670788121269019,0.6421204586017821,0.7030050917259443,162.68064880371094,162.68064880371094,162.68064880371094,0.0,0.0,162.68064880371094,22188,3073.329196333885,38.68922424316406,56.99266720236995,acne
81.30007298857794,0.7689583492730412,0.7575152536345575,0.9073497573516911,83.24600219726562,83.24600219726562,83.24600219726562,0.0,0.0,83.24600219726562,16279,1706.891476035118,4.1435546875,13.3042708559593,acne
233.74851449153925,0.7674746743634587,0.506353031113141,0.6823364699806775,70.92892456054688,70.92892456054688,70.92892456054688,0.0,0.0,70.92892456054688,31654,2835.5920470952988,13.58795166015625,22.364074783489063,acne
854.2873612611471,0.8411015930194405,0.6510464164963393,0.7072649882920474,151.1746826171875,151.1746826171875,151.1746826171875,0.0,0.0,151.1746826171875,21447,3383.471333026886,33.46937561035156,51.81847425917809,acne
1022.5880392097354,0.8343260489395197,0.5456816396636391,0.616440727192912,129.51400756835938,129.51400756835938,129.51400756835938,0.0,0.0,129.51400756835938,27942,4078.7261669635773,46.89497375488281,55.525878935617015,acne
1005.8322987061099,0.8000863170527015,0.51621344360104,0.5787532838978406,118.00839233398438,118.00839233398438,118.00839233398438,0.0,0.0,118.00839233398438,29555,4099.755604028702,44.062744140625,50.05635587383614,acne
1195.8736422681818,0.8006541092524221,0.644190274730104,0.6909768183316709,137.69525146484375,137.69525146484375,137.69525146484375,0.0,0.0,137.69525146484375,21130,4840.782076597214,36.85760498046875,54.762203604576726,acne
1158.1275716214677,0.8021095270181683,0.5991902530098907,0.6523571365895591,129.2587890625,129.2587890625,129.2587890625,0.0,0.0,129.2587890625,24180,5138.203428983688,40.47883605957031,54.16369326227932,acne
593.1504851059699,0.7978917009885886,0.6407587580552099,0.7201016169381103,120.12019348144531,120.12019348144531,120.12019348144531,0.0,0.0,120.12019348144531,22076,3489.027682185173,24.093841552734375,38.31194458092116,acne
787.983751844741,0.8483459699036754,0.655121629110078,0.6924309122100769,175.43380737304688,175.43380737304688,175.43380737304688,0.0,0.0,175.43380737304688,21366,2765.848969936371,32.570953369140625,50.87914393341098,acne
950.9077097152599,0.7865131279299556,0.5647455455221628,0.649460955033448,102.54942321777344,102.54942321777344,102.54942321777344,0.0,0.0,102.54942321777344,25806,5705.499893188477,37.716705322265625,47.186968441589876,acne
156.95316343132086,0.8006512311809877,0.5011500268797626,0.7648947989597255,77.572998046875,77.572998046875,77.572998046875,0.0,0.0,77.572998046875,32703,2355.9108082056046,11.852890014648438,19.80183685438003,acne
495.3357571063266,0.8245152716255463,0.7204095589392476,0.765824025344802,147.67308044433594,147.67308044433594,147.67308044433594,0.0,0.0,147.67308044433594,17383,3149.6063293218613,19.602981567382812,37.65090020052722,acne
1220.0294964268637,0.8487699125483847,0.602945612235784,0.6650730129351151,155.66275024414062,155.66275024414062,155.66275024414062,0.0,0.0,155.66275024414062,24255,3675.873354077339,48.1070556640625,63.47471282130311,acne
208.53940428786132,0.8518747542198017,0.7493046416126283,0.817967847407781,113.98527526855469,113.98527526855469,113.98527526855469,0.0,0.0,113.98527526855469,15940,2012.999121427536,11.960662841796875,26.63737911769586,acne
